sampleid	Labnro	Alue	Kasvillisuus	Soil_pH	Maanäyte
Barcode001	R08	Raajärvi	sammal	7.4	Rikastushiekkakenttä
Barcode002	R16	Raajärvi	apila	6.92	Rikastushiekkakenttä
Barcode003	R07	Raajärvi	sammal	7.15	Rikastushiekkakenttä
Barcode004	R37	Raajärvi	sammal	7.11	Rikastushiekkakenttä
Barcode005	R33	Raajärvi	apila	7.38	Rikastushiekkakenttä
Barcode006	R13	Raajärvi	apila	6.7	Rikastushiekkakenttä
Barcode007	M06	Matovaara	kontrolli	4	Vanhan_metsän_suojelualueen_maa
Barcode008	R38	Raajärvi	apila	7.25	Rikastushiekkakenttä
Barcode009	R05	Raajärvi	apila	6.81	Rikastushiekkakenttä
Barcode010	R34	Raajärvi	kontrolli	4,44	Talousmetsämaa
Barcode011	R32	Raajärvi	kontrolli	4,84	Talousmetsämaa
Barcode012	R04	Raajärvi	apila	6.87	Rikastushiekkakenttä
Barcode013	M04	Matovaara	kontrolli	3,84	Vanhan_metsän_suojelualueen_maa
Barcode014	M07	Matovaara	kontrolli	3,91	Vanhan_metsän_suojelualueen_maa
Barcode015	M01	Matovaara	kontrolli	4,02	Vanhan_metsän_suojelualueen_maa
Barcode016	R21	Raajärvi	kontrolli	5,71	Talousmetsämaa
Barcode017	R18	Raajärvi	apila	7.31	Rikastushiekkakenttä
Barcode018	R40	Raajärvi	kontrolli	4,15	Talousmetsämaa
Barcode019	R42	Raajärvi	kontrolli	4,52	Talousmetsämaa
Barcode020	M05	Matovaara	kontrolli	4,05	Vanhan_metsän_suojelualueen_maa
Barcode021	M02	Matovaara	kontrolli	3,78	Vanhan_metsän_suojelualueen_maa
Barcode022	R31	Raajärvi	kontrolli	4,3	Talousmetsämaa
Barcode023	R23	Raajärvi	apila	6.64	Rikastushiekkakenttä
Barcode024	negative	none	negative	none	none
