Sampleid	Labc	Area	Veg	Soil	Type	pH
Barcode001	R08	RJ	moss	7.4	tsl	neutral
Barcode002	R16	RJ	clover	6.92	tsl	neutral
Barcode003	R07	RJ	moss	7.15	tsl	neutral
Barcode004	R37	RJ	moss	7.11	tsl	neutral
Barcode005	R33	RJ	clover	7.38	tsl	neutral
Barcode006	R13	RJ	clover	6.7	tsl	neutral
Barcode007	M06	MV	ctrl	4	cfl	acidic
Barcode008	R38	RJ	clover	7.25	tsl	neutral
Barcode009	R05	RJ	clover	6.81	tsl	neutral
Barcode010	R34	RJ	ctrl	4,44	mfl	acidic
Barcode011	R32	RJ	ctrl	4,84	mfl	acidic
Barcode012	R04	RJ	clover	6.87	tsl	neutral
Barcode013	M04	MV	ctrl	3,84	cfl	acidic
Barcode014	M07	MV	ctrl	3,91	cfl	acidic
Barcode015	M01	MV	ctrl	4,02	cfl	acidic
Barcode016	R21	RJ	ctrl	5,71	mfl	acidic
Barcode017	R18	RJ	clover	7.31	tsl	neutral
Barcode018	R40	RJ	ctrl	4,15	mfl	acidic
Barcode019	R42	RJ	ctrl	4,52	mfl	acidic
Barcode020	M05	MV	ctrl	4,05	cfl	acidic
Barcode021	M02	MV	ctrl	3,78	cfl	acidic
Barcode022	R31	RJ	ctrl	4,3	mfl	acidic
Barcode023	R23	RJ	clover	6.64	tsl	neutral
